"customer_id","date_most_recent","recency_days","order_count","revenue","R_score","F_score","M_score","RFM_score"
4027,2020-10-13,158,9,2644,2,4,4,244
4030,2020-01-24,421,9,3810,1,4,4,144
4058,2020-04-28,326,6,3086,1,3,4,134
4060,2020-04-18,336,6,3926,1,3,4,134
4119,2020-07-28,235,8,2131,2,4,4,244
4146,2020-09-19,182,8,817,2,4,2,242
4151,2020-07-30,233,6,2626,2,3,4,234
4155,2020-07-25,238,8,1836,2,4,4,244
4170,2020-09-14,187,9,2522,2,4,4,244
4192,2020-09-30,171,10,2208,2,4,4,244
4211,2020-07-05,258,9,795,2,4,2,242
4216,2020-06-05,288,8,1356,1,4,3,143
4236,2020-08-20,212,7,1891,2,3,4,234
4239,2020-07-26,237,7,2779,2,3,4,234
4264,2020-10-15,156,6,2701,2,3,4,234
4269,2020-08-24,208,9,867,2,4,2,242
4285,2020-07-30,233,8,1656,2,4,3,243
4292,2020-10-06,165,9,2117,2,4,4,244
4322,2020-10-16,155,9,4590,2,4,4,244
4323,2020-09-24,177,7,1967,2,3,4,234
4336,2020-05-12,312,9,3727,1,4,4,144
4345,2019-10-02,535,9,1966,1,4,4,144
4356,2020-10-10,161,6,2291,2,3,4,234
4375,2020-09-15,186,11,2779,2,4,4,244
4387,2019-11-27,479,6,2227,1,3,4,134
4390,2020-07-23,240,7,3209,2,3,4,234
4395,2020-04-04,350,10,2273,1,4,4,144
4399,2020-10-13,158,10,2952,2,4,4,244
4400,2020-06-21,272,10,2041,2,4,4,244
4406,2020-09-02,199,10,2802,2,4,4,244
4412,2020-08-30,202,9,1082,2,4,3,243
4451,2020-04-01,353,6,4015,1,3,4,134
4483,2020-09-23,178,6,4378,2,3,4,234
4493,2020-10-14,157,9,2780,2,4,4,244
4500,2020-10-13,158,10,2004,2,4,4,244
4505,2020-06-26,267,7,2834,2,3,4,234
4526,2020-09-03,198,9,833,2,4,2,242
4551,2020-07-24,239,11,1849,2,4,4,244
4561,2020-07-24,239,10,1196,2,4,3,243
4566,2020-08-20,212,7,1930,2,3,4,234
4577,2020-04-15,339,8,2101,1,4,4,144
4587,2020-01-09,436,6,2014,1,3,4,134
4595,2020-05-14,310,6,3168,1,3,4,134
4611,2020-07-28,235,10,3553,2,4,4,244
4613,2020-04-18,336,9,2395,1,4,4,144
4614,2020-10-13,158,9,2924,2,4,4,244
4633,2020-05-23,301,6,8078,1,3,4,134
